feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,label
4,4.051,1,0,TRUE,TRUE,TRUE,30000000,0,-3,601,fair
13,4.351,11,0,TRUE,TRUE,TRUE,30000000,0,2,1139,fair
23,4.555,20,0,FALSE,TRUE,TRUE,3000000,0,-4,2223,fair
10,4.623,5,0,TRUE,TRUE,FALSE,30000000,0,8,804,fair
22,4.046,16,0,FALSE,TRUE,TRUE,7500000,0,-11,1867,fair
18,4.595,6,0,TRUE,TRUE,FALSE,30000000,0,1,1162,fair
18,4.526,60,0,TRUE,TRUE,TRUE,30000000,0,-4,1522,fair
13,4.039,19,0,FALSE,TRUE,FALSE,30000000,0,-5,1895,fair
11,4.4,10,0,TRUE,TRUE,TRUE,3000000,0,-2,1195,fair
19,3.935,11,0,TRUE,TRUE,TRUE,300000,0,-4,1488,fair
18,4.075,35,0,TRUE,TRUE,FALSE,3000000,0,-5,1864,fair
19,3.983,14,0,FALSE,TRUE,FALSE,750000,0,-2,2049,fair
8,4.238,2,0,TRUE,TRUE,FALSE,30000000,0,1,417,fair
16,3.915,11,0,TRUE,TRUE,FALSE,3000000,0,-3,1276,fair
13,4.05,12,0,TRUE,TRUE,FALSE,750000,0,-3,1210,fair
20,3.795,24,0,TRUE,TRUE,TRUE,750000,0,-7,2038,fair
12,3.997,10,0,TRUE,TRUE,FALSE,7500000,0,1,1044,fair
15,3.212,13,0,TRUE,TRUE,TRUE,3000000,0,-5,1245,fair
2,2.611,2,0,TRUE,TRUE,FALSE,3000000,0,-1,225,fair
15,4.547,10,0,TRUE,TRUE,FALSE,30000000,0,-3,1120,fair
22,2.671,11,0,TRUE,TRUE,TRUE,3000000,0,4,1406,fair
13,4.045,10,0,FALSE,TRUE,TRUE,750000,0,-3,1063,fair
7,3.555,10,0,TRUE,TRUE,FALSE,750000,0,-9,855,fair
17,4.59,38,0,TRUE,TRUE,TRUE,3000000,0,-5,2147,fair
12,4.258,13,0,TRUE,TRUE,TRUE,7500000,0,-9,1189,fair
19,4.428,8,0,TRUE,TRUE,FALSE,750000,0,-10,1804,fair
26,4.401,5,0,TRUE,TRUE,FALSE,3000000,0,5,1514,fair
12,4.275,12,0,TRUE,TRUE,TRUE,3000000,0,-6,1272,fair
17,4.149,14,0,TRUE,TRUE,TRUE,750000,0,-8,1413,fair
7,4.396,2,0,TRUE,TRUE,TRUE,300000,0,-3,610,fair
14,4.113,5,0,TRUE,TRUE,TRUE,3000000,0,2,1145,fair
14,4.24,14,0,TRUE,TRUE,FALSE,30000,0,2,1413,fair
2,4.241,14,0,TRUE,TRUE,TRUE,300000,0,-4,573,fair
12,3.989,16,0,TRUE,TRUE,TRUE,3000000,0,-6,1387,fair
19,4.31,7,0,TRUE,TRUE,TRUE,75000,0,-7,1336,fair
7,4.451,5,0,TRUE,TRUE,TRUE,3000000,0,5,817,fair
29,3.916,16,0,TRUE,TRUE,TRUE,300000,0,-9,2205,fair
7,4.761,3,0,TRUE,TRUE,FALSE,300000,0,1,541,fair
6,4.158,1,0,TRUE,TRUE,FALSE,300000,0,0,310,fair
6,2.972,4,0,TRUE,TRUE,FALSE,300000,0,-4,880,fair
5,3.903,4,0,TRUE,TRUE,FALSE,300000,0,-6,583,fair
19,3.433,20,0,TRUE,TRUE,FALSE,3000000,0,-9,1888,fair
13,4.412,4,0,TRUE,TRUE,FALSE,3000000,0,-3,1122,fair
15,4.461,21,0,FALSE,TRUE,TRUE,3000000,0,15,1613,fair
5,3.564,11,0,TRUE,FALSE,FALSE,300000,0,-2,1014,fair
8,4.131,6,0,TRUE,FALSE,FALSE,3000000,0,5,1115,fair
6,3.55,8,0,TRUE,TRUE,TRUE,30000,0,-1,437,fair
2,4.435,0,0,TRUE,TRUE,TRUE,3000000,0,1,307,fair
13,4.233,4,0,TRUE,TRUE,TRUE,300000,0,-3,991,fair
7,3.975,6,0,TRUE,TRUE,FALSE,3000000,0,1,578,fair
10,3.926,7,0,TRUE,TRUE,TRUE,300000,0,4,962,fair
13,4.59,6,0,TRUE,TRUE,FALSE,3000000,0,2,1267,fair
9,3.601,8,0,TRUE,TRUE,FALSE,300000,0,-9,1300,fair
16,3.701,12,0,TRUE,TRUE,FALSE,300000,0,3,1051,fair
16,2.931,10,0,TRUE,TRUE,TRUE,300000,0,-13,1822,fair
7,4.564,0,0,TRUE,TRUE,FALSE,3000000,0,0,535,fair
11,4.179,8,0,TRUE,TRUE,FALSE,7500000,0,-7,1075,fair
6,4.466,4,0,TRUE,TRUE,TRUE,3000000,0,7,691,fair
7,4.34,5,0,FALSE,TRUE,TRUE,750000,0,-3,991,fair
7,4.539,14,0,TRUE,TRUE,FALSE,300000,0,3,805,fair
23,4.135,18,0,TRUE,TRUE,TRUE,3000000,0,0,1509,fair
22,4.48,13,0,TRUE,FALSE,FALSE,300000,0,0,1661,fair
22,4.141,20,0,TRUE,TRUE,TRUE,7500000,0,3,1484,fair
15,4.557,13,0,TRUE,FALSE,FALSE,3000000,0,-6,1431,fair
12,4.452,16,0,TRUE,FALSE,FALSE,300000,0,2,929,fair
10,4.482,4,0,TRUE,FALSE,FALSE,3000000,0,4,577,fair
9,4.572,6,0,TRUE,TRUE,FALSE,3000000,0,-4,833,fair
13,4.789,5,0,TRUE,TRUE,FALSE,300000,0,8,869,fair
14,4.212,21,0,TRUE,FALSE,FALSE,750000,0,-3,1140,fair
15,4.226,7,0,TRUE,TRUE,TRUE,3000000,0,3,651,fair
7,4.182,3,0,TRUE,FALSE,TRUE,3000000,0,-3,516,fair
7,4.528,3,0,TRUE,TRUE,FALSE,300000,0,0,326,fair
8,4.384,4,0,TRUE,TRUE,FALSE,3000000,0,0,790,fair
16,4.123,3,0,TRUE,TRUE,FALSE,750000,0,-7,1138,fair
19,4.399,10,0,TRUE,TRUE,FALSE,30000,0,0,1284,fair
26,4.239,18,0,TRUE,TRUE,FALSE,3000000,0,-8,2334,fair
5,4.249,1,0,TRUE,FALSE,FALSE,750000,0,-1,585,fair
30,3.228,24,0,TRUE,TRUE,TRUE,30000,0,2,2314,fair
